Name of movie,YEAR,RATES,METASCORE,gross_collection,Votes,Watch Time,Genre,Certificate,Description,Director,Stars
Nowhere,2023,6.4,NAN,15948,15948,109,"Drama, Thriller",N/A,"A young pregnant woman named Mia escapes from a country at war by hiding in a maritime container aboard a cargo ship. After a violent storm, Mia gives birth to the child while lost at sea, where she must fight to survive.","
Albert Pintó","Anna Castillo, Tamar Novas, Tony Corvillo, Mariam Torres"
Totally Killer,2023,6.6,62,14778,14778,106,"Comedy, Horror",R,"When the infamous ""Sweet Sixteen Killer"" returns 35 years after his first murder spree to claim another victim, 17-year-old Jamie accidentally travels back in time to 1987, determined to stop the killer before he can start.","
Nahnatchka Khan","Kiernan Shipka, Olivia Holt, Charlie Gillespie, Lochlyn Munro"
Saw X,2023,7.1,60,18028,18028,118,"Horror, Mystery, Thriller",R,A sick and desperate John travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer only to discover the entire operation is a scam to defraud the most vulnerable.,"
Kevin Greutert","Tobin Bell, Shawnee Smith, Synnøve Macody Lund, Steven Brand"
Fukrey 3,2023,7.7,NAN,20316,20316,147,"Comedy, Crime, Drama",N/A,The friends facing disastrously funny situations together and having each other's backs through the trenches to make it out of a new mess this time.,"
Mrighdeep Lamba","Pulkit Samrat, Varun Sharma, Manjot Singh, Richa Chadha"
No One Will Save You,2023,6.3,60,37397,37397,93,"Horror, Sci-Fi, Thriller",PG-13,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,"
Brian Duffield","Kaitlyn Dever, Elizabeth Kaluev, Zack Duhame, Lauren L. Murray"
The Creator,2023,7.1,63,36056,36056,133,"Action, Adventure, Drama",PG-13,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child.","
Gareth Edwards","John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney"
Love at First Sight,2023,6.9,55,19498,19498,91,"Drama, Romance",PG-13,"Hadley and Oliver begin to fall for each other on their flight from New York to London. The probability of ever finding each other again seems impossible, but love - and London - may have a way of defying the odds.","
Vanessa Caswill","Haley Lu Richardson, Ben Hardy, Rob Delaney, Katrina Nare"
A Haunting in Venice,2023,6.8,63,30221,30221,103,"Crime, Drama, Horror",PG-13,"In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again to uncover the killer.","
Kenneth Branagh","Kenneth Branagh, Michelle Yeoh, Jamie Dornan, Tina Fey"
Expend4bles,2023,5.1,30,11250,11250,103,"Action, Adventure, Thriller",R,"Armed with every weapon they can get their hands on, the Expendables are the world's last line of defense and the team that gets called when all other options are off the table.","
Scott Waugh","Jason Statham, 50 Cent, Megan Fox, Dolph Lundgren"
A Million Miles Away,2023,7.3,62,12876,12876,121,"Biography, Drama",PG,"A biopic about Jose Hernandez and his path from a farm worker to becoming an engineer and an astronaut. A tale of perseverance, community and sacrifice to accomplish a seemingly impossible dream.","
Alejandra Márquez Abella","Michael Peña, Rosa Salazar, Julio Cesar Cedillo, Veronica Falcón"
Reptile,2023,6.9,52,36057,36057,134,"Crime, Drama, Mystery",R,"Tom Nichols is a hardened New England detective, unflinching in his pursuit of a case where nothing is as it seems and it begins to dismantle the illusions in his own life.","
Grant Singer","Benicio Del Toro, Justin Timberlake, Eric Bogosian, Alicia Silverstone"
Jawan,2023,7.5,NAN,62031,62031,169,"Action, Thriller",UA,A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,"
Atlee","Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone"
The Nun II,2023,5.7,47,31696,31696,110,"Horror, Mystery, Thriller",R,"1956 - France. A priest is murdered. An evil is spreading. The sequel to the worldwide smash hit follows Sister Irene as she once again comes face-to-face with Valak, the demon nun.","
Michael Chaves","Taissa Farmiga, Jonas Bloquet, Storm Reid, Anna Popplewell"
The Equalizer 3,2023,6.9,58,43972,43972,109,"Action, Crime, Thriller",R,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.","
Antoine Fuqua","Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman"
The Vaccine War,2023,7.7,NAN,20613,20613,161,"Drama, Thriller",U,"Based on India's battle against Covid-19, and the efforts the medical department took to overcome the global crisis.","
Vivek Agnihotri","Anupam Kher, Nivedita Bhattacharya, Raima Sen, Girija Oak"
Retribution,2023,5.3,43,10189,10189,91,"Action, Crime, Drama",R,A bank executive receives a bomb threat while driving his children to school that his car will explode if they stop and get out.,"
Nimród Antal","Liam Neeson, Noma Dumezweni, Lilly Aspell, Jack Champion"
You Are So Not Invited to My Bat Mitzvah,2023,6.0,71,20049,20049,103,Comedy,PG-13,"Stacy and Lydia are BFFs who've always dreamed about having epic Bat Mitzvahs. However, things start to go comically awry when a popular boy and middle school drama threatens their friendship and their rite of passage.","
Sammi Cohen","Idina Menzel, Jackie Sandler, Adam Sandler, Sadie Sandler"
Strays,2023,6.3,54,15942,15942,93,"Adventure, Comedy",R,An abandoned dog teams up with other strays to get revenge on his former owner.,"
Josh Greenbaum","Will Ferrell, Jamie Foxx, Isla Fisher, Randall Park"
Blue Beetle,2023,6.1,61,52873,52873,127,"Action, Adventure, Sci-Fi",PG-13,"An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny as he becomes the superhero known as Blue Beetle.","
Angel Manuel Soto","Xolo Maridueña, Bruna Marquezine, Becky G, Damián Alcázar"
Heart of Stone,2023,5.7,44,50321,50321,122,"Action, Crime, Thriller",13,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable and dangerous weapon.,"
Tom Harper","Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi"
OMG 2,2023,7.9,NAN,27991,27991,156,"Comedy, Drama",UA,An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,"
Amit Rai","Akshay Kumar, Pankaj Tripathi, Yami Gautam, Pawan Malhotra"
Gadar 2,2023,5.5,NAN,19724,19724,170,"Action, Adventure, Drama",UA,"When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.","
Anil Sharma","Sunny Deol, Simratt Kaur Randhawa, Amrish Puri, Ameesha Patel"
"Red, White & Royal Blue",2023,7.0,62,39114,39114,118,"Comedy, Romance",R,"When the feud between the son of the American President and Britain's prince threatens to drive a wedge in U.S./British relations, the two are forced into a staged truce that sparks something deeper.","
Matthew López","Taylor Zakhar Perez, Nicholas Galitzine, Uma Thurman, Jemma Redgrave"
The Last Voyage of the Demeter,2023,6.1,52,30497,30497,118,"Fantasy, Horror",R,A crew sailing from Varna (Bulgaria) by the Black Sea to England find that they are carrying very dangerous cargo.,"
André Øvredal","Corey Hawkins, Aisling Franciosi, Liam Cunningham, David Dastmalchian"
Jailer,2023,7.1,NAN,24849,24849,168,"Action, Comedy, Crime",UA,"A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?","
Nelson Dilipkumar","Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff"
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,7.3,74,44049,44049,99,"Animation, Action, Adventure",PG,The film follows the Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.,"Directors:
Jeff Rowe, 
Kyler Spears","Micah Abbey, Shamon Brown Jr., Nicolas Cantu, Brady Noon"
Rocky Aur Rani Kii Prem Kahaani,2023,6.8,NAN,37264,37264,168,"Comedy, Drama, Family",N/A,"Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married.","
Karan Johar","Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi"
Happiness for Beginners,2023,6.0,48,14425,14425,103,"Comedy, Drama, Romance",N/A,"Helen signs up for a wilderness survival course, a year after getting divorced. She discovers through this experience that sometimes, you have to get really lost in order to find yourself.","
Vicky Wight","Ellie Kemper, Luke Grimes, Nico Santos, Blythe Danner"
Bawaal,2023,6.6,NAN,14635,14635,137,"Action, Drama, Romance",UA 13+,A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can raise his social position.,"
Nitesh Tiwari","Varun Dhawan, Janhvi Kapoor, Manoj Pahwa, Anjuman Saxena"
Cobweb,2023,5.9,50,17797,17797,88,"Horror, Thriller",R,"An eight-year-old boy tries to investigate the mysterious knocking sounds that are coming from inside the walls of his house, unveiling a dark secret that his sinister parents have kept hidden from him.","
Samuel Bodin","Lizzy Caplan, Antony Starr, Cleopatra Coleman, Woody Norman"
Gran Turismo,2023,7.2,48,43336,43336,134,"Action, Adventure, Drama",PG-13,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world.","
Neill Blomkamp","David Harbour, Orlando Bloom, Archie Madekwe, Takehiro Hira"
Haunted Mansion,2023,6.1,47,22701,22701,123,"Comedy, Drama, Family",PG-13,"A single mom named Gabbie hires a tour guide, a psychic, a priest and a historian to help exorcise her newly bought mansion after discovering it is inhabited by ghosts.","
Justin Simien","LaKeith Stanfield, Rosario Dawson, Owen Wilson, Tiffany Haddish"
Bird Box: Barcelona,2023,5.3,47,20714,20714,112,"Horror, Mystery, Sci-Fi",A,"After an entity of mysterious origin annihilates the world's population causing those who observe it to take their lives, Sebastián and his daughter begin their own great adventure of survival in Barcelona.","Directors:
David Pastor, 
Àlex Pastor","Mario Casas, Georgina Campbell, Diego Calva, Naila Schuberth"
Oppenheimer,2023,8.5,88,459265,459265,180,"Biography, Drama, History",R,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.","
Christopher Nolan","Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr."
Checkmate,2023,8.0,NAN,23968,23968,112,"Action, Comedy",UA 16+,"An assassin gets hired for a job that throws him in a murky pool of mishaps, eventually leading to a baffling secret.","Directors:
Akriti Bajpai, 
Harsh Beniwal","Harsh Beniwal, Mohit Chhikara, Aditya Paul, Vishal Vashishtha"
Barbie,2023,7.1,80,354951,354951,114,"Adventure, Comedy, Fantasy",UA,Barbie suffers a crisis that leads her to question her world and her existence.,"
Greta Gerwig","Margot Robbie, Ryan Gosling, Issa Rae, Kate McKinnon"
The Out-Laws,2023,5.4,36,30976,30976,95,"Action, Comedy, Crime",A,"A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.","
Tyler Spindel","Adam Devine, Pierce Brosnan, Ellen Barkin, Nina Dobrev"
Hidden Strike,2023,5.3,NAN,15572,15572,102,"Action, Adventure, Comedy",N/A,"Two ex-special forces soldiers must escort a group of civilians along Baghdad's ""Highway of Death"" to the safety of the Green Zone.","
Scott Waugh","Jackie Chan, John Cena, Chunrui Ma, Wenli Jiang"
Sound of Freedom,2023,7.8,36,70625,70625,131,"Biography, Crime, Drama",PG-13,The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.,"
Alejandro Monteverde","Jim Caviezel, Mira Sorvino, Bill Camp, Cristal Aparicio"
Satyaprem Ki Katha,2023,7.2,NAN,27667,27667,146,"Comedy, Drama, Musical",UA,"A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.","
Sameer Vidwans","Kartik Aaryan, Kiara Advani, Supriya Pathak, Gajraj Rao"
Lust Stories 2,2023,6.5,NAN,50562,50562,132,"Drama, Romance",A,"Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated ""Lust Stories"".","Directors:
R. Balki, 
Sujoy Ghosh, 
Amit Ravindernath Sharma, 
Konkona Sen Sharma","Tamannaah Bhatia, Vijay Varma, Neena Gupta, Mrunal Thakur"
Carry on Jatta 3,2023,6.8,NAN,10913,10913,136,"Comedy, Drama, Romance",UA,"Advocate Dhillon's son, Jass, is in love with Meet but her brothers get in a tussle with Adv. Dhillon. As a result, Adv. Dhillon rejects Meet's hand in marriage. Left with no option, Jass weaves a madhouse plan to propose to his friend.","
Smeep Kang","Gippy Grewal, Sonam Bajwa, Binnu Dhillon, Rupinder Rupi"
Priyotoma,2023,5.6,NAN,21144,21144,155,"Action, Drama, Romance",N/A,"A tragic love story that left an indelible mark on Sumon's life, shattering his world and leaving him forever transformed.","
Himel Ashraf","Shakib Khan, Idhika Paul, Shahiduzzaman Selim, Lutfur Rahman George"
Surongo,2023,6.7,NAN,27931,27931,150,"Crime, Drama, Mystery",UA,A simple electrician from a village turns to crime and goes to extreme lengths to satisfy his love.,"
Raihan Rafi","Atikur Rahman Mahi, Nusraat Faria Mazhar, Tama Mirza, Mostafa Monwar"
Insidious: The Red Door,2023,5.5,45,37375,37375,107,"Horror, Mystery, Thriller",A,The Lamberts must go deeper into The Further than ever before to put their demons to rest once and for all.,"
Patrick Wilson","Ty Simpkins, Patrick Wilson, Rose Byrne, Sinclair Daniel"
Paradise,2023,6.3,NAN,15384,15384,117,"Action, Sci-Fi, Thriller",N/A,"After his wife is forced to give up 40 years of her life as payment for an insurance debt, a man desperately searches for a way to get them back.","
Boris Kunz","Kostja Ullmann, Corinna Kirchhoff, Marlene Tanczik, Iris Berben"
Mission: Impossible - Dead Reckoning Part One,2023,7.9,81,153988,153988,163,"Action, Adventure, Thriller",UA,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,"
Christopher McQuarrie","Tom Cruise, Hayley Atwell, Ving Rhames, Simon Pegg"
Adipurush,2023,3.4,NAN,130365,130365,179,"Action, Adventure, Drama",U,A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the raakshash king Lankesh.,"
Om Raut","Kriti Sanon, Saif Ali Khan, Prabhas, Devdutta Nage"
No Hard Feelings,2023,6.4,59,82007,82007,103,"Comedy, Romance",A,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying.","
Gene Stupnitsky","Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti, Matthew Broderick"
The Flash,2023,6.7,55,179344,179344,144,"Action, Adventure, Fantasy",UA,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future.","
Andy Muschietti","Ezra Miller, Michael Keaton, Sasha Calle, Michael Shannon"
They Cloned Tyrone,2023,6.6,74,31855,31855,122,"Comedy, Mystery, Sci-Fi",R,A series of eerie events thrusts an unlikely trio onto the trail of a nefarious government conspiracy in this pulpy mystery caper.,"
Juel Taylor","John Boyega, Jamie Foxx, Teyonah Parris, Kiefer Sutherland"
Nimona,2023,7.6,75,31955,31955,101,"Animation, Action, Adventure",PG,"When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy.","Directors:
Nick Bruno, 
Troy Quane","Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang, Frances Conroy"
Extraction 2,2023,7.0,57,129695,129695,122,"Action, Thriller",A,"After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission.","
Sam Hargrave","Chris Hemsworth, Golshifteh Farahani, Adam Bessa, Tornike Gogrichiani"
Meg 2: The Trench,2023,5.1,40,55855,55855,116,"Action, Adventure, Horror",PG-13,"A research team encounters multiple threats while exploring the depths of the ocean, including a malevolent mining operation.","
Ben Wheatley","Jason Statham, Jing Wu, Shuya Sophia Cai, Cliff Curtis"
Bloody Daddy,2023,6.6,NAN,17100,17100,121,"Action, Crime, Drama",A,"A messed up, tenacious man faces off against cops and crime lords to save the one relationship that matters to him.","
Ali Abbas Zafar","Shahid Kapoor, Vivan Bhatena, Chandu Kanuri, Diana Penty"
Spider-Man: Across the Spider-Verse,2023,8.7,86,275490,275490,140,"Animation, Action, Adventure",U,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Directors:
Joaquim Dos Santos, 
Kemp Powers, 
Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez"
The Boogeyman,2023,5.9,55,29630,29630,98,"Horror, Mystery, Thriller",A,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late.","
Rob Savage","Sophie Thatcher, Chris Messina, Vivien Lyra Blair, David Dastmalchian"
Elemental,2023,7.0,58,83178,83178,101,"Animation, Adventure, Comedy",U,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.","
Peter Sohn","Leah Lewis, Mamoudou Athie, Ronnie Del Carmen, Shila Ommi"
Transformers: Rise of the Beasts,2023,6.1,42,83849,83849,127,"Action, Adventure, Sci-Fi",UA,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.","
Steven Caple Jr.","Anthony Ramos, Dominique Fishback, Luna Lauren Velez, Dean Scott Vazquez"
Kandahar,2023,6.0,52,23281,23281,119,"Action, Thriller",R,A CIA operative and his translator flee from special forces in Afghanistan after exposing a covert mission.,"
Ric Roman Waugh","Tom Rhys Harries, Farhad Bagheri, Gerard Butler, Mitchell LaFortune"
The Machine,2023,5.8,37,11868,11868,112,"Action, Comedy",R,Bert's drunken past catches up with him 20 years down the road when he and his father are kidnapped by those Bert wronged 20 years ago while drunk on a college semester abroad in Russia.,"
Peter Atencio","Bert Kreischer, Mark Hamill, Jimmy Tatro, Iva Babic"
Asteroid City,2023,6.6,75,79502,79502,105,"Comedy, Drama, Romance",PG-13,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever.","
Wes Anderson","Jason Schwartzman, Scarlett Johansson, Tom Hanks, Jeffrey Wright"
Indiana Jones and the Dial of Destiny,2023,6.7,58,133191,133191,154,"Action, Adventure, Sci-Fi",UA,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.,"
James Mangold","Harrison Ford, Phoebe Waller-Bridge, Antonio Banderas, Karen Allen"
Fast X,2023,5.8,56,98657,98657,141,"Action, Adventure, Crime",UA,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.,"
Louis Leterrier","Vin Diesel, Michelle Rodriguez, Jason Statham, Jordana Brewster"
Sirf Ek Bandaa Kaafi Hai,2023,7.9,NAN,25343,25343,132,"Crime, Drama, Thriller",UA,A common man with honesty and integrity can take on the system when he has truth on his side.,"
Apoorv Singh Karki","Manoj Bajpayee, Surya Mohan Kulshreshtha, Jai Hind Kumar, Nikhil Pandey"
The Little Mermaid,2023,7.2,59,137575,137575,135,"Adventure, Family, Fantasy",U,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,"
Rob Marshall","Halle Bailey, Jonah Hauer-King, Melissa McCarthy, Javier Bardem"
Culpa mía,2023,6.2,NAN,18538,18538,117,"Drama, Romance",A,"Noah has to leave her town, boyfriend and friends behind and move into the mansion of her mother's new rich husband. There she meets Nick, her new stepbrother. They fall madly in love in secret.","
Domingo González","Nicole Wallace, Gabriel Guevara, Marta Hazas, Iván Sánchez"
The Mother,2023,5.6,45,42634,42634,115,"Action, Thriller",R,"While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life.","
Niki Caro","Jennifer Lopez, Lucy Paez, Omari Hardwick, Joseph Fiennes"
The Kerala Story,2023,7.2,NAN,65692,65692,138,Drama,A,"A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail.","Directors:
Sudipto Sen, 
Vipul Amrutlal Shah","Adah Sharma, Yogita Bihani, Sonia Balani, Siddhi Idnani"
Peter Pan & Wendy,2023,4.4,61,26116,26116,106,"Action, Adventure, Comedy",UA 7+,"Follow the adventures of Peter Pan, a boy who does not want to grow up, and how he recruits three siblings in London, and together they embark on a magical adventure on the enchanted island of Neverland.","
David Lowery","Alexander Molony, Ever Anderson, Jude Law, Alyssa Wapanatâhk"
AKA,2023,6.6,NAN,11499,11499,122,"Action, Crime, Thriller",A,A steely special ops agent finds his morality put to the test when he infiltrates a crime syndicate and unexpectedly bonds with the boss's young son.,"
Morgan S. Dalibert","Alban Lenoir, Eric Cantona, Thibault de Montalembert, Sveva Alviti"
Ponniyin Selvan: Part Two,2023,7.3,NAN,16850,16850,164,"Action, Adventure, Drama",U,"Arulmozhi Varman continues on his journey to become Rajaraja I, the greatest ruler of the historic Chola empire of south India.","
Mani Ratnam","Vikram, Karthi, Jayam Ravi, Aishwarya Rai Bachchan"
"Are You There God? It's Me, Margaret.",2023,7.4,84,15470,15470,106,"Comedy, Drama, Family",PG-13,"When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence.","
Kelly Fremon Craig","Abby Ryder Fortson, Rachel McAdams, Kathy Bates, Benny Safdie"
Ghosted,2023,5.8,34,53333,53333,116,"Action, Adventure, Comedy",U/A 16+,"Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world.","
Dexter Fletcher","Chris Evans, Ana de Armas, Adrien Brody, Mike Moh"
Blood & Gold,2023,6.5,NAN,14479,14479,98,"Action, Drama, War",A,"At the end of World War II, a German soldier is looking for his daughter while an SS troop is looking for a Jewish treasure.","
Peter Thorwarth","Robert Maaser, Jördis Triebel, Marie Hacke, Alexander Scheer"
Kisi Ka Bhai Kisi Ki Jaan,2023,4.4,NAN,39849,39849,145,"Action, Comedy, Drama",UA,"The eldest brother refuses to marry since he believes it may create disharmony in his big family. His brothers, who've already found partners, come together to find a match for him.","
Farhad Samji","Salman Khan, Pooja Hegde, Venkatesh Daggubati, Jagapathi Babu"
The Covenant,2023,7.5,63,129711,129711,123,"Action, Drama, Thriller",R,"During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.","
Guy Ritchie","Jake Gyllenhaal, Dar Salim, Sean Sagar, Jason Wong"
Guardians of the Galaxy Vol. 3,2023,7.9,64,330203,330203,150,"Action, Adventure, Comedy",UA,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.","
James Gunn","Chris Pratt, Chukwudi Iwuji, Bradley Cooper, Pom Klementieff"
The Last Kingdom: Seven Kings Must Die,2023,6.9,48,31951,31951,111,"Action, Drama, History",A,"In the wake of King Edward's death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last.","
Edward Bazalgette","Mark Rowley, Pekka Strang, Zoltan Andrasi, Ingrid García Jonsson"
Misanthrope,2023,6.6,43,27402,27402,119,"Action, Crime, Drama",A,Baltimore. New Year's Eve. A talented but troubled police officer (Shailene Woodley) is recruited by the FBI's chief investigator (Ben Mendelsohn) to help profile and track down a disturbed individual terrorizing the city.,"
Damián Szifron","Shailene Woodley, Ben Mendelsohn, Jovan Adepo, Ralph Ineson"
Hunger,2023,6.6,NAN,13242,13242,146,"Drama, Thriller",A,A woman running her family's noodle restaurant receives an invitation to join the fine-dining industry under the tutelage of an infamous chef.,"
Sitisiri Mongkolsiri","Nopachai Chaiyanam, Chutimon Chuengcharoensukying, Alex Gravenstein, Chimwemwe Miller"
The Pope's Exorcist,2023,6.1,45,66814,66814,103,"Horror, Thriller",A,"Follow Gabriele Amorth, the Vatican's leading exorcist, as he investigates the possession of a child and uncovers a conspiracy the Vatican has tried to keep secret.","
Julius Avery","Russell Crowe, Daniel Zovatto, Alexandra Essoe, Franco Nero"
Nefarious,2023,6.4,NAN,19021,19021,97,"Horror, Thriller",R,"On the day of his scheduled execution, a convicted serial killer gets a psychiatric evaluation during which he claims he is a demon, and further claims that before their time is over, the psychiatrist will commit three murders of his own.","Directors:
Chuck Konzelman, 
Cary Solomon","Sean Patrick Flanery, Jordan Belfi, Tom Ohmer, Glenn Beck"
The Super Mario Bros. Movie,2023,7.1,46,197249,197249,92,"Animation, Adventure, Comedy",U,"A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess.","Directors:
Aaron Horvath, 
Michael Jelenic, 
Pierre Leduc, 
Fabien Polack","Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black"
Beau Is Afraid,2023,6.8,63,43095,43095,179,"Comedy, Drama, Horror",A,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home.","
Ari Aster","Joaquin Phoenix, Patti LuPone, Amy Ryan, Nathan Lane"
Murder Mystery 2,2023,5.7,44,61997,61997,90,"Action, Comedy, Crime",UA 13+,Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja is kidnapped at his own lavish wedding.,"
Jeremy Garelick","Adam Sandler, Jennifer Aniston, Mark Strong, Mélanie Laurent"
Gaslight,2023,6.2,NAN,24623,24623,111,"Crime, Horror, Mystery",UA 16+,"Misha returns to her royal family estate after 15 years to visit her estranged father, only to find him missing.","
Pavan Kirpalani","Sara Ali Khan, Vikrant Massey, Chitrangda Singh, Rahul Dev"
Renfield,2023,6.4,53,73255,73255,93,"Comedy, Fantasy, Horror",A,"Renfield, Dracula's henchman and inmate at the lunatic asylum for decades, longs for a life away from the Count, his various demands, and all of the bloodshed that comes with them.","
Chris McKay","Nicholas Hoult, Nicolas Cage, Awkwafina, Ben Schwartz"
Bholaa,2023,6.0,NAN,21772,21772,144,"Action, Adventure, Crime",UA,"After getting out of prison with the desire to meet his daughter, Bholaa's plans are interrupted by a well-orchestrated drug bust.","
Ajay Devgn","Tabu, Ajay Devgn, Abhishek Bachchan, Amala Paul"
Chor Nikal Ke Bhaga,2023,7.5,NAN,51323,51323,110,"Crime, Drama, Thriller",UA 16+,"A flight attendant and her business partner on a mission to steal diamonds and free themselves from the clutches of a loan shark.At 40,000 feet in the air, the heist goes horribly wrong and turns into a hostage situation.","
Ajay Singh","Yami Gautam, Sunny Kaushal, Sharad Kelkar, Indraneil Sengupta"
Bheed,2023,6.7,NAN,11413,11413,124,"Drama, History",UA,The toughest times people had to face just to reach their homes.,"
Anubhav Sinha","Rajkummar Rao, Pankaj Kapur, Bhumi Pednekar, Aditya Srivastav"
Les trois mousquetaires: D'Artagnan,2023,6.7,NAN,12667,12667,121,"Action, Adventure, History",UA,"D'Artagnan arrives in Paris trying to find his attackers after being left for dead, which leads him to a real war where the future of France is at stake. He aligns himself with Athos, Porthos and Aramis, three musketeers of the King.","
Martin Bourboulon","François Civil, Vincent Cassel, Romain Duris, Pio Marmaï"
Air,2023,7.4,73,146122,146122,111,"Drama, Sport",13,"Follows the history of sports marketing executive Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball, Michael Jordan.","
Ben Affleck","Matt Damon, Jason Bateman, Ben Affleck, Chris Messina"
Joy Ride,2023,6.5,74,15776,15776,95,Comedy,R,"Follows four Asian American friends as they bond and discover the truth of what it means to know and love who you are, while they travel through China in search of one of their birth mothers.","
Adele Lim","Ashley Park, Sherry Cola, Stephanie Hsu, Sabrina Wu"
