Name of movie,YEAR,RATES,METASCORE,gross_collection,Votes,Watch Time,Genre,Certificate,Description,Director,Stars
My Spy,2020,6.3,46,33415,33415,99,"Action, Comedy",UA,"A hardened CIA operative finds himself at the mercy of a precocious 9-year-old girl, having been sent undercover to surveil her family.","
Peter Segal","Dave Bautista, Chloe Coleman, Parisa Fitz-Henley, Kristen Schaal"
Tanhaji: The Unsung Warrior,2020,7.5,NAN,35367,35367,135,"Action, Biography, Drama",UA,"Tanhaji Malusare, a military chieftain in the army of the Maratha king Shivaji, leads the charge to capture the strategically important Kondhana fort guarded by the army of the fierce Rajput chieftain Udaybhan Rathod.","
Om Raut","Ajay Devgn, Saif Ali Khan, Sharad Kelkar, Kajol"
Chhapaak,2020,5.4,NAN,27481,27481,120,"Biography, Drama",UA,"The trials and triumphs of Malti, an acid attack survivor. From the investigation of the attack to the court proceedings, the medical treatment to the emotional healing. Chhapaak is the story of the unquashable human spirit.","
Meghna Gulzar","Deepika Padukone, Vikrant Massey, Madhurjeet Sarghi, Payal Nair"
Underwater,2020,5.9,48,"17,291,078",90640,95,"Action, Horror, Sci-Fi",15+,A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.,"
William Eubank","Kristen Stewart, Vincent Cassel, Mamoudou Athie, T.J. Miller"
Bad Boys for Life,2020,6.5,59,"206,305,244",170341,124,"Action, Comedy, Crime",A,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,"Directors:
Adil El Arbi, 
Bilall Fallah","Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig"
Like a Boss,2020,4.7,33,14969,14969,83,Comedy,A,Two friends with very different ideals start a beauty company together. One is more practical while the other wants to earn her fortune and live a lavish lifestyle.,"
Miguel Arteta","Tiffany Haddish, Rose Byrne, Salma Hayek, Karan Soni"
Dolittle,2020,5.6,26,"77,047,065",68956,101,"Adventure, Comedy, Family",U,A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,"
Stephen Gaghan","Robert Downey Jr., Antonio Banderas, Michael Sheen, Jim Broadbent"
The Grudge,2020,4.4,41,28373,28373,94,"Fantasy, Horror",A,A house is cursed by a vengeful ghost that dooms those who enter it with a violent death.,"
Nicolas Pesce","Tara Westwood, Junko Bailey, David Lawrence Brown, Zoe Fish"
Good Newwz,2019,6.8,NAN,21484,21484,134,"Comedy, Drama",UA,Two couples with the same surname pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,"Directors:
Raj Mehta, 
Kulwinder Singh, 
Ranjeet Singh","Akshay Kumar, Kareena Kapoor, Diljit Dosanjh, Kiara Advani"
Togo,2019,7.9,69,53320,53320,113,"Adventure, Biography, Drama",U,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.","
Ericson Core","Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer"
