Name of movie,YEAR,RATES,METASCORE,gross_collection,Votes,Watch Time,Genre,Certificate,Description,Director,Stars
The Shawshank Redemption,1994,9.3,82,"28,341,469",2806836,142,Drama,A,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","
Frank Darabont","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler"
The Godfather,1972,9.2,100,"134,966,411",1955954,175,"Crime, Drama",A,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","
Francis Ford Coppola","Marlon Brando, Al Pacino, James Caan, Diane Keaton"
Ramayana: The Legend of Prince Rama,1993,9.2,NAN,13031,13031,135,"Animation, Action, Adventure",U,"An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana.","Directors:
Ram Mohan, 
Yûgô Sakô, 
Koichi Saski","Arun Govil, Nikhil Kapoor, Edie Mirman, Rael Padamsee"
Hababam Sinifi,1975,9.2,NAN,42248,42248,87,"Comedy, Drama",N/A,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows.","
Ertem Egilmez","Kemal Sunal, Münir Özkul, Halit Akçatepe, Tarik Akan"
The Dark Knight,2008,9.0,84,"534,858,444",2788568,152,"Action, Crime, Drama",UA,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","
Christopher Nolan","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
Schindler's List,1993,9.0,95,"96,898,818",1411037,195,"Biography, Drama, History",A,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","
Steven Spielberg","Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
The Lord of the Rings: The Return of the King,2003,9.0,94,"377,845,905",1921400,201,"Action, Adventure, Drama",U,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"
Peter Jackson","Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom"
12 Angry Men,1957,9.0,97,"4,360,000",835277,96,"Crime, Drama",U,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"
Sidney Lumet","Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler"
The Godfather Part II,1974,9.0,90,"57,300,000",1328206,202,"Crime, Drama",A,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","
Francis Ford Coppola","Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton"
Aynabaji,2016,9.0,NAN,29116,29116,147,"Crime, Mystery, Thriller",N/A,"A struggling actor becomes a professional impostor, hired to impersonate people for financial gain, but as he delves deeper into his work he becomes embroiled in trouble that threatens to unravel his life.","
Amitabh Reza Chowdhury","Chanchal Chowdhury, Masuma Rahman Nabila, Partha Barua, Lutfur Rahman George"
DAMaN,2022,9.0,NAN,13434,13434,121,"Adventure, Drama",UA,"The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication.","Directors:
Lenka Debiprasad, 
Vishal Mourya","Karan Kandhapan, Babushan Mohanty, Dipanwit Dashmohapatra, Manaswani Takri"
Pulp Fiction,1994,8.9,95,"107,928,762",2152644,154,"Crime, Drama",A,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","
Quentin Tarantino","John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis"
Kimetsu no Yaiba: Tsuzumi Yashiki Hen,2021,8.9,NAN,21945,21945,87,"Animation, Action, Fantasy",N/A,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.,"
Haruo Sotozaki",N/A
Al-risâlah,1976,8.9,NAN,10146,10146,207,"Action, Adventure, Biography",PG,"The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah.""","
Moustapha Akkad","Abdallah Gheith, Mona Wassef, Hamdy Gheith, Ali Achmed Taram"
Tosun Pasa,1976,8.9,NAN,24174,24174,90,Comedy,N/A,"Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, who has a beautiful young daughter,...                See full summary »","
Kartal Tibet","Kemal Sunal, Müjde Ar, Adile Nasit, Sener Sen"
Hababam Sinifi Sinifta Kaldi,1975,8.9,NAN,24229,24229,91,Comedy,N/A,A young and beautiful female teacher starts working in an all boys high school.,"
Ertem Egilmez","Kemal Sunal, Münir Özkul, Semra Özdamar, Adile Nasit"
Fight Club,1999,8.8,67,"37,030,102",2241114,139,Drama,A,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"
David Fincher","Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier"
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,"315,544,750",1949690,178,"Action, Adventure, Drama",U,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"
Peter Jackson","Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean"
Inception,2010,8.8,74,"292,576,195",2475030,148,"Action, Adventure, Sci-Fi",UA,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","
Christopher Nolan","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe"
Forrest Gump,1994,8.8,82,"330,252,182",2184791,142,"Drama, Romance",UA,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","
Robert Zemeckis","Tom Hanks, Robin Wright, Gary Sinise, Sally Field"
The Lord of the Rings: The Two Towers,2002,8.8,87,"342,551,365",1733826,179,"Action, Adventure, Drama",UA,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","
Peter Jackson","Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom"
"Il buono, il brutto, il cattivo",1966,8.8,90,"6,100,000",791273,161,"Adventure, Western",A,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"
Sergio Leone","Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè"
Jai Bhim,2021,8.8,NAN,210968,210968,164,"Crime, Drama, Mystery",A,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","
T.J. Gnanavel","Suriya, Lijo Mol Jose, Manikandan K., Rajisha Vijayan"
Kill Bill: The Whole Bloody Affair,2006,8.8,NAN,15084,15084,247,"Action, Crime, Thriller",N/A,"The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer.","
Quentin Tarantino","Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen"
777 Charlie,2022,8.8,NAN,37027,37027,136,"Adventure, Comedy, Drama",UA,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.,"
Kiranraj K","Rakshit Shetty, Charlie, Sangeetha Sringeri, Raj B. Shetty"
Manichitrathazhu,1993,8.8,NAN,11721,11721,169,"Comedy, Horror, Mystery",U,"When a forbidden room in an old bungalow is unbolted, the spirit of a vengeful dancer is unleashed.","
Fazil","Shobana, Mohanlal, Suresh Gopi, Vinaya Prasad"
Kimetsu no Yaiba: Natagumo Yama Hen,2020,8.8,NAN,14881,14881,138,"Animation, Action, Fantasy",N/A,Tanjiro teams up with Zenitsu and Inosuke to investigate missing person cases on the mountain Natagumo. They slowly begin to realize the entire mountain is being controlled by a family of Demon spider creatures.,"
Haruo Sotozaki",N/A
Balkanski spijun,1984,8.8,NAN,12114,12114,95,"Comedy, Drama",N/A,"Convinced that his subtenant is a spy and an enemy of the state, a man falls into deep paranoia which leads to absurd and destructive chain of events.","Directors:
Dusan Kovacevic, 
Bozidar 'Bota' Nikolic","Danilo 'Bata' Stojkovic, Bora Todorovic, Mira Banjac, Sonja Savic"
#Home,2021,8.8,NAN,14463,14463,158,Drama,U,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.","
Rojin Thomas","Indrans, Sreenath Bhasi, Manju Pillai, Naslen"
Maratonci trce pocasni krug,1982,8.8,NAN,16592,16592,92,"Comedy, Drama",N/A,"The Topalovic family has been in the burial business for generations. When the old (150 yrs old) Pantelija dies, five generations of his heirs start to fight for the inheritance.","
Slobodan Sijan","Bogdan Diklic, Danilo 'Bata' Stojkovic, Pavle Vuisic, Mija Aleksic"
Süt Kardesler,1976,8.8,NAN,20763,20763,80,"Comedy, Family, Mystery",N/A,"Saban, Ramazan and Bayram are sailors in an Ottoman Navy and Hüsamettin is their commander. Hüsamettin's aide Ramazan, Saban who is foster son of Hüsamettin's sister and Bayram who is ...                See full summary »","
Ertem Egilmez","Kemal Sunal, Sener Sen, Halit Akçatepe, Hale Soygazi"
Spider-Man: Across the Spider-Verse,2023,8.7,86,274014,274014,140,"Animation, Action, Adventure",U,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.","Directors:
Joaquim Dos Santos, 
Kemp Powers, 
Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez"
Interstellar,2014,8.7,74,"188,020,017",1997768,169,"Adventure, Drama, Sci-Fi",UA,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","
Christopher Nolan","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy"
Goodfellas,1990,8.7,92,"46,836,394",1218322,145,"Biography, Crime, Drama",A,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","
Martin Scorsese","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco"
The Matrix,1999,8.7,73,"171,479,930",1995624,136,"Action, Sci-Fi",A,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Directors:
Lana Wachowski, 
Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving"
One Flew Over the Cuckoo's Nest,1975,8.7,84,"112,000,000",1045924,133,Drama,A,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","
Milos Forman","Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco"
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,82,"290,475,067",1345245,124,"Action, Adventure, Fantasy",UA,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","
Irvin Kershner","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams"
The Legend of Maula Jatt,2022,8.7,NAN,10266,10266,153,"Action, Drama, Fantasy",All,"From times untold where legends are written in soil with blood, a hero is born. Maula Jatt, a fierce prizefighter with a tortured past seeks vengeance against his arch nemesis Noori Natt, the most feared warrior in the land of Punjab.","
Bilal Lashari","Mahira Khan, Fawad Khan, Humaima Malik, Hamza Ali Abbasi"
Rocketry: The Nambi Effect,2022,8.7,NAN,55686,55686,157,"Biography, Drama",UA,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him.","
Madhavan","Madhavan, Simran, Rajit Kapoor, Ravi Raghavendra"
Toma,2021,8.7,NAN,11768,11768,140,"Biography, Drama, Music",N/A,"Biopic about Toma Zdravkovic, the man who is remembered not only for his songs and the unique way he sang them, but also as a bohemian, both in his behavior and his soul.","Directors:
Dragan Bjelogrlic, 
Zoran Lisinac","Milan Maric, Tamara Dragicevic, Petar Bencina, Andrija Kuzmanovic"
Soorarai Pottru,2020,8.7,NAN,121067,121067,153,"Action, Drama",U,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.","
Sudha Kongara","Suriya, Paresh Rawal, Urvashi, Aparna Balamurali"
Pariyerum Perumal,2018,8.7,NAN,17309,17309,154,Drama,U,"A law student from a lower caste begins a friendship with his classmate, a girl who belongs to a higher caste, and the men in her family start giving him trouble over this.","
Mari Selvaraj","Kathir, Anandhi, Yogi Babu, Lijeesh"
Ko to tamo peva,1980,8.7,NAN,16224,16224,86,"Adventure, Comedy, Drama",N/A,"It's April 5, 1941, somewhere in Serbia. A group of people go on a bus to Belgrade, on a journey that will change their lives forever.","
Slobodan Sijan","Pavle Vuisic, Dragan Nikolic, Danilo 'Bata' Stojkovic, Aleksandar Bercek"
Peranbu,2018,8.7,NAN,15499,15499,147,Drama,UA,"A single father tries to raise his daughter, who has cerebral palsy, even as she is beginning to wake up to her sexuality.","
Ram","Mammootty, Sadhana, Anjali, Anjali Ameer"
Zügürt Aga,1985,8.7,NAN,16007,16007,101,"Comedy, Drama",N/A,The landlord of a village in eastern Turkey decides to sell his land after a severe drought and migrates to Istanbul with his family. However the struggle for survival in the 'big city' will not be easier for them.,"
Nesli Çölgeçen","Sener Sen, Erdal Özyagcilar, Nilgün Nazli, Füsun Demirel"
Saban Oglu Saban,1977,8.7,NAN,18415,18415,90,"Comedy, Crime, Mystery",N/A,"Husamettin the commander in the army is constantly bothered by the stupidity of one of his soldiers Saban. After discharge from the army, Saban and his friend Ramazan work in a night club ...                See full summary »","
Ertem Egilmez","Kemal Sunal, Halit Akçatepe, Sener Sen, Adile Nasit"
Neseli Günler,1978,8.7,NAN,11710,11710,95,"Comedy, Drama, Family",N/A,A mid-aged couple with 6 kids who are running a pickle shop gets divorced with 3 kids each. The family members find each other years later with a funny story.,"
Orhan Aksoy","Münir Özkul, Adile Nasit, Sener Sen, Aysen Gruda"
Kibar Feyzo,1978,8.7,NAN,17012,17012,83,"Comedy, Drama",N/A,"A poor peasant, Feyzo returns from military service dreaming about getting married to Gülo, the love of his life. However, he has to face many obstacles. According to tradition, a man has ...                See full summary »","
Atif Yilmaz","Kemal Sunal, Müjde Ar, Adile Nasit, Sener Sen"
Hababam Sinifi Uyaniyor,1977,8.7,NAN,20514,20514,94,"Adventure, Comedy",N/A,A kind and hardworking student joins to Hababam Sinifi (The Chaos Class) but they don't accept him as one of them and he becomes the target of all class' pranks.,"
Ertem Egilmez","Kemal Sunal, Münir Özkul, Halit Akçatepe, Adile Nasit"
The Silence of the Lambs,1991,8.6,86,"130,742,922",1498564,118,"Crime, Drama, Thriller",A,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","
Jonathan Demme","Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons"
Se7en,1995,8.6,65,"100,125,643",1739043,127,"Crime, Drama, Mystery",A,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","
David Fincher","Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker"
Saving Private Ryan,1998,8.6,91,"216,540,909",1453798,169,"Drama, War",A,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","
Steven Spielberg","Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns"
The Green Mile,1999,8.6,61,"136,801,374",1364643,189,"Crime, Drama, Fantasy",UA,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution.","
Frank Darabont","Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt"
Star Wars,1977,8.6,90,"322,740,140",1416726,121,"Action, Adventure, Fantasy",U,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","
George Lucas","Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness"
Cidade de Deus,2002,8.6,79,"7,563,397",783191,130,"Crime, Drama",A,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Directors:
Fernando Meirelles, 
Kátia Lund","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, Phellipe Haagensen"
Sen to Chihiro no kamikakushi,2001,8.6,96,"10,055,859",812743,125,"Animation, Adventure, Family",U,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.","
Hayao Miyazaki","Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi"
Terminator 2: Judgment Day,1991,8.6,75,"204,843,350",1144417,137,"Action, Sci-Fi",A,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.","
James Cameron","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
La vita è bella,1997,8.6,59,"57,598,247",724355,116,"Comedy, Drama, Romance",U,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.","
Roberto Benigni","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"
It's a Wonderful Life,1946,8.6,89,480088,480088,130,"Drama, Family, Fantasy",PG,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"
Frank Capra","James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell"
Shichinin no samurai,1954,8.6,98,"269,061",358802,207,"Action, Drama",U,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.","
Akira Kurosawa","Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki"
Seppuku,1962,8.6,85,64205,64205,133,"Action, Drama, Mystery",N/A,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.","
Masaki Kobayashi","Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba"
The Kashmir Files,2022,8.6,NAN,571761,571761,170,Drama,A,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.","
Vivek Agnihotri","Mithun Chakraborty, Anupam Kher, Darshan Kumaar, Pallavi Joshi"
Sita Ramam,2022,8.6,NAN,63385,63385,163,"Action, Drama, Mystery",U,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.","
Hanu Raghavapudi","Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth"
O Auto da Compadecida,2000,8.6,NAN,16096,16096,104,"Comedy, Drama, Fantasy",N/A,Follows the lives of 2 poor Brazilians and their schemes to get money and the consequences of their actions.,"
Guel Arraes","Matheus Nachtergaele, Selton Mello, Rogério Cardoso, Denise Fraga"
Nayakan,1987,8.6,NAN,21598,21598,156,"Crime, Drama",A,"A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.","
Mani Ratnam","Kamal Haasan, Saranya Ponvannan, Delhi Ganesh, Janakaraj"
Anbe Sivam,2003,8.6,NAN,24590,24590,160,"Adventure, Comedy, Drama",U,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.","
Sundar C.","Kamal Haasan, Madhavan, Kiran Rathod, Nassar"
Lepa sela lepo gore,1996,8.6,NAN,17363,17363,115,"Comedy, Drama, History",N/A,"During the war in Bosnia, two childhood friends eventually become enemies, as the tragic and devastating circumstances of the war put them on the opposite sides and expose the most gruesome and cruel aspects of the human nature.","
Srdjan Dragojevic","Dragan Bjelogrlic, Nikola Kojo, Dragan Maksimovic, Zoran Cvijanovic"
Hababam Sinifi Tatilde,1977,8.6,NAN,18524,18524,97,"Adventure, Comedy, Drama",N/A,Hababam Sinifi (The Chaos Class) continue to their adventures. Now first female students of the school history joins to the class and all Hababam Sinifi fight each other for them at first ...                See full summary »,"
Ertem Egilmez","Kemal Sunal, Münir Özkul, Adile Nasit, Sener Sen"
Oppenheimer,I) (2023,8.5,88,457148,457148,180,"Biography, Drama, History",R,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.","
Christopher Nolan","Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr."
Alien,1979,8.5,89,"78,900,000",921961,117,"Horror, Sci-Fi",R,The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.,"
Ridley Scott","Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright"
Gladiator,2000,8.5,67,"187,705,427",1567403,155,"Action, Adventure, Drama",UA,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"
Ridley Scott","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
Django Unchained,2012,8.5,81,"162,805,434",1639625,165,"Drama, Western",A,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","
Quentin Tarantino","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington"
Gisaengchung,2019,8.5,96,"53,367,844",893035,132,"Drama, Thriller",A,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"
Bong Joon Ho","Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong, Choi Woo-sik"
The Departed,2006,8.5,85,"132,384,315",1383523,151,"Crime, Drama, Thriller",A,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"
Martin Scorsese","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg"
The Prestige,2006,8.5,66,"53,089,891",1400319,130,"Drama, Mystery, Sci-Fi",U,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","
Christopher Nolan","Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine"
Back to the Future,1985,8.5,87,"210,609,762",1266964,116,"Adventure, Comedy, Sci-Fi",U,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","
Robert Zemeckis","Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover"
Whiplash,2014,8.5,89,"13,092,000",936021,106,"Drama, Music",A,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"
Damien Chazelle","Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser"
Psycho,1960,8.5,97,"32,000,000",700655,109,"Horror, Mystery, Thriller",A,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother.","
Alfred Hitchcock","Anthony Perkins, Janet Leigh, Vera Miles, John Gavin"
Léon,1994,8.5,64,"19,501,238",1212076,110,"Action, Crime, Drama",A,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","
Luc Besson","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
The Usual Suspects,1995,8.5,77,"23,341,568",1121201,106,"Crime, Drama, Mystery",A,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,"
Bryan Singer","Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin"
The Lion King,1994,8.5,88,"422,783,777",1108740,88,"Animation, Adventure, Drama",U,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","Directors:
Roger Allers, 
Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg"
American History X,1998,8.5,62,"6,719,864",1160884,119,"Crime, Drama",R,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.","
Tony Kaye","Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien"
The Pianist,2002,8.5,85,"32,572,577",880804,150,"Biography, Drama, Music",13,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"
Roman Polanski","Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox"
Casablanca,1942,8.5,100,"1,024,560",593046,102,"Drama, Romance, War",U,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"
Michael Curtiz","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains"
The Intouchables,2011,8.5,57,"13,182,281",900643,112,"Biography, Comedy, Drama",UA,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","Directors:
Olivier Nakache, 
Éric Toledano","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
Hotaru no haka,1988,8.5,94,296865,296865,89,"Animation, Drama, War",U,A young boy and his little sister struggle to survive in Japan during World War II.,"
Isao Takahata","Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara"
Once Upon a Time in the West,1968,8.5,82,"5,321,508",342265,165,Western,U,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,"
Sergio Leone","Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards"
Rear Window,1954,8.5,100,"36,764,313",510136,112,"Mystery, Thriller",U,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","
Alfred Hitchcock","James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter"
Nuovo Cinema Paradiso,1988,8.5,80,"11,990,401",274628,155,"Drama, Romance",U,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"
Giuseppe Tornatore","Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli"
Modern Times,1936,8.5,96,"163,245",253125,87,"Comedy, Drama, Romance",N/A,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"
Charles Chaplin","Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford"
City Lights,1931,8.5,99,"19,181",191792,87,"Comedy, Drama, Romance",G,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","
Charles Chaplin","Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers"
96,II) (2018,8.5,NAN,34443,34443,158,"Drama, Romance",U,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,"
C. Prem Kumar","Vijay Sethupathi, Adithya Bhaskar, Trisha Krishnan, Gouri Kishan"
