Name of movie,YEAR,RATES,METASCORE,gross_collection,Votes,Watch Time,Genre,Certificate,Description,Director,Stars
Downton Abbey: A New Era,2022,7.4,63,"44,141,550",27987,124,"Drama, Romance",UA,The Crawley family goes on a grand journey to the South of France to uncover the mystery of the dowager countess's newly inherited villa.,"
Simon Curtis","Hugh Bonneville, Jim Carter, Michelle Dockery, Elizabeth McGovern"
Blow Out,1981,7.4,86,"13,747,234",59773,108,"Crime, Drama, Mystery",A,A movie sound recordist accidentally records the evidence that proves that a car accident was actually murder and consequently finds himself in danger.,"
Brian De Palma","John Travolta, Nancy Allen, John Lithgow, Dennis Franz"
Sherlock Holmes: A Game of Shadows,2011,7.4,48,"186,848,418",471999,129,"Action, Adventure, Mystery",UA,"Detective Sherlock Holmes is on the trail of criminal mastermind Professor Moriarty, who is carrying out a string of random crimes across Europe.","
Guy Ritchie","Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams"
Hooligans,2005,7.4,55,"344,095",158438,109,"Crime, Drama, Sport",A,"A wrongfully expelled Harvard undergrad moves to London, where he is introduced to the violent underworld of football hooliganism.","
Lexi Alexander","Elijah Wood, Charlie Hunnam, Claire Forlani, Marc Warren"
Minari,2020,7.4,89,91072,91072,115,Drama,UA,"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a home.","
Lee Isaac Chung","Steven Yeun, Yeri Han, Alan Kim, Noel Cho"
The Bad Seed,1956,7.4,51,15244,15244,129,"Drama, Horror, Thriller",N/A,"Rhoda Penmark seems like your average, sweet eight-year-old girl. After her rival at school dies in mysterious circumstances at the school picnic, her mother starts to suspect that Rhoda was responsible.","
Mervyn LeRoy","Nancy Kelly, Patty McCormack, Gage Clarke, Jesse White"
High Fidelity,2000,7.4,79,"27,287,137",186742,113,"Comedy, Drama, Music",R,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.","
Stephen Frears","John Cusack, Iben Hjejle, Todd Louiso, Jack Black"
How to Train Your Dragon: The Hidden World,2019,7.4,71,"160,799,505",143327,104,"Animation, Action, Adventure",U,"When Hiccup discovers Toothless isn't the only Night Fury, he must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.","
Dean DeBlois","Jay Baruchel, America Ferrera, F. Murray Abraham, Cate Blanchett"
M*A*S*H,1970,7.4,80,"81,600,000",75624,116,"Comedy, Drama, War",A,The staff of a Korean War field hospital use humor and high jinks to keep their sanity in the face of the horror of war.,"
Robert Altman","Donald Sutherland, Elliott Gould, Tom Skerritt, Sally Kellerman"
Durante la tormenta,2018,7.4,NAN,61740,61740,128,"Drama, Fantasy, Mystery",18,Two storms separated by 25 years. A woman murdered. A daughter missed. Only 72 hours to discover the truth.,"
Oriol Paulo","Adriana Ugarte, Chino Darín, Javier Gutiérrez, Álvaro Morte"
Nosferatu - Phantom der Nacht,1979,7.4,79,38989,38989,107,"Drama, Horror",N/A,"Count Dracula moves from Transylvania to Wismar, spreading the Black Plague across the land. Only a woman pure of heart can bring an end to his reign of horror.","
Werner Herzog","Klaus Kinski, Isabelle Adjani, Bruno Ganz, Roland Topor"
The Mauritanian,2021,7.4,53,58017,58017,129,"Biography, Crime, Drama",A,Mohamedou Ould Slahi fights for freedom after being detained and imprisoned without charge by the U.S. Government for years.,"
Kevin Macdonald","Tahar Rahim, Nouhe Hamady Bari, Saadna Hamoud, Mohamed Yeslem Mousse"
SLC Punk!,1998,7.4,50,"299,200",31802,97,"Comedy, Drama, Music",R,"In the early 1980s Stevo, and Heroin Bob are the only two dedicated punks in conservative Salt Lake City.","
James Merendino","Matthew Lillard, Michael A. Goorjian, Annabeth Gish, Jennifer Lien"
Buffalo '66,1998,7.4,68,"2,375,097",58013,110,"Comedy, Drama, Romance",R,"After being released from prison, Billy is set to visit his parents with his wife, whom he does not actually have. This provokes Billy to act out, as he kidnaps a girl and forces her to act as his wife for the visit.","
Vincent Gallo","Vincent Gallo, Christina Ricci, Ben Gazzara, Mickey Rourke"
Onward,I) (2020,7.4,61,"61,555,145",162885,102,"Animation, Action, Adventure",U,"In a magical world full of technological advances, elven brothers Ian and Barley Lightfoot set out on an adventure to resurrect their late father for a day.","
Dan Scanlon","Tom Holland, Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer"
La reine Margot,1994,7.4,NAN,"2,017,346",18519,161,"Biography, Drama, History",R,"Young Queen Margot finds herself trapped in an arranged marriage amidst a religious war between Catholics and Protestants. She hopes to escape with a new lover, but finds herself imprisoned by her powerful and ruthless family.","
Patrice Chéreau","Isabelle Adjani, Daniel Auteuil, Jean-Hugues Anglade, Vincent Perez"
August Rush,2007,7.4,38,"31,664,162",109983,114,"Drama, Music",U,An orphaned musical prodigy uses his gift to try to find his birth parents.,"
Kirsten Sheridan","Freddie Highmore, Keri Russell, Jonathan Rhys Meyers, Terrence Howard"
Gi-eok-ui bam,2017,7.4,NAN,42457,42457,108,"Crime, Mystery, Thriller",16,"When his abducted brother returns seemingly a different man with no memory of the past 19 days, Jin-seok chases after the truth behind the kidnapping.","
Hang-jun Jang","Kang Ha-neul, Yeon Je Hyung, Mu-Yeol Kim, Na-ra Lee"
Frances Ha,2012,7.4,82,"4,063,238",90945,86,"Comedy, Drama, Romance",R,"A New York woman apprentices for a dance company and throws herself headlong into her dreams, even as the possibility of realizing them dwindles.","
Noah Baumbach","Greta Gerwig, Mickey Sumner, Adam Driver, Michael Zegen"
The Land Before Time,1988,7.4,66,"48,092,846",95662,69,"Animation, Adventure, Drama",U,An orphaned brontosaurus teams up with other young dinosaurs in order to reunite with their families in a valley.,"
Don Bluth","Pat Hingle, Gabriel Damon, Helen Shaver, Bill Erwin"
The Judge,2014,7.4,48,"47,119,388",198478,141,"Crime, Drama",A,"Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth; along the way he reconnects with his estranged family.","
David Dobkin","Robert Downey Jr., Robert Duvall, Vera Farmiga, Billy Bob Thornton"
The Swimmers,2022,7.4,62,33574,33574,134,"Biography, Drama, Sport",UA 16+,"From war-torn Syria to the 2016 Rio Olympics, two young sisters embark on a harrowing journey as refugees, putting both their hearts and champion swimming skills to heroic use.","
Sally El Hosaini","Matthias Schweighöfer, Ahmed Malek, Ali Suliman, James Krishna Floyd"
Inside Llewyn Davis,2013,7.4,93,"13,235,319",160158,104,"Drama, Music",R,A week in the life of a young singer as he navigates the Greenwich Village folk scene of 1961.,"Directors:
Ethan Coen, 
Joel Coen","Oscar Isaac, Carey Mulligan, John Goodman, Garrett Hedlund"
Frequency,2000,7.4,67,"45,010,278",113530,118,"Crime, Drama, Mystery",A,"An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences.","
Gregory Hoblit","Dennis Quaid, Jim Caviezel, Shawn Doyle, Elizabeth Mitchell"
